CASE_STATUS,AGENT_POC_EMP_REP_BY_AGENT,SOC_CODE,NAICS_CODE,NBR_WORKERS_REQUESTED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,NUM_OF_MONTHS_TRAINING,EMP_EXP_NUM_MONTHS,SWA_NAME,AGENT_ATTORNEY_CITY,WORKSITE_CITY,AGENT_ATTORNEY_STATE,WORKSITE_STATE,HOURLY_WORK_SCHEDULE_AM,HOURLY_WORK_SCHEDULE_PM,OVERTIME_RATE_FROM,OVERTIME_RATE_TO
1,1,37,56,5,1,peakload,40.0,13.68,0.0,none,0.0,0.0,0,brooklyn,sandy,new york,utah,07:00:00,16:00:00,20.52,20.52
1,1,45,11,49,1,seasonal,36.0,14.27,0.0,none,0.0,0.0,0,lake park,hermitage,georgia,arkansas,06:00:00,13:00:00,21.41,22.5
1,1,35,71,3,1,peakload,40.0,15.12,0.0,none,0.0,12.0,0,framingham,naples,massachusetts,florida,09:00:00,17:00:00,22.68,22.68
1,1,37,56,10,1,seasonal,35.0,16.36,0.0,none,0.0,0.0,0,charlottesville,teton village,virginia,wyoming,05:00:00,13:00:00,24.54,24.54
1,1,37,72,12,1,peakload,35.0,12.66,0.0,none,0.0,6.0,0,framingham,west dover,massachusetts,vermont,08:00:00,15:00:00,18.99,18.99
1,1,45,11,35,1,seasonal,40.0,10.25,0.0,none,0.0,3.0,0,coeur d' alene,saluda,idaho,south carolina,08:00:00,17:00:00,15.38,21.29
1,1,45,11,16,1,seasonal,40.0,14.97,0.0,none,0.0,0.0,0,coeur d' alene,buena vista,idaho,georgia,07:00:00,17:00:00,22.46,22.46
1,1,37,56,20,1,seasonal,40.0,14.24,0.0,none,0.0,0.0,0,coeur d' alene,atlanta,idaho,georgia,08:00:00,17:00:00,21.36,21.36
1,1,45,11,60,1,seasonal,40.0,9.79,0.0,none,0.0,0.0,0,coeur d' alene,lagrange,idaho,georgia,08:00:00,16:00:00,14.69,29.67
1,0,37,56,20,1,seasonal,35.0,10.91,0.0,none,0.0,1.0,0,no attorney representation,clearwater beach,no attorney representation,florida,08:00:00,15:00:00,16.37,16.37
1,1,45,11,42,1,seasonal,40.0,10.25,0.0,none,0.0,3.0,0,coeur d' alene,calhoun,idaho,georgia,07:30:00,16:30:00,15.38,53.12
1,1,35,72,22,1,peakload,35.0,14.4,0.0,none,0.0,2.0,0,frisco,naples,texas,florida,06:00:00,14:00:00,21.6,21.6
1,1,53,42,4,1,peakload,40.0,15.45,0.0,none,0.0,0.0,0,bay city,pottstown,texas,pennsylvania,08:30:00,17:00:00,23.18,23.18
1,1,45,11,45,1,seasonal,40.0,13.41,0.0,none,0.0,0.0,0,lake park,warren,georgia,arkansas,08:00:00,17:00:00,20.12,27.14
1,1,37,72,15,1,peakload,40.0,14.73,0.0,high school/ged ,0.0,12.0,0,aurora,tabernash,colorado,colorado,08:00:00,17:00:00,22.1,22.1
1,1,37,56,9,1,seasonal,35.0,16.81,0.0,none,0.0,0.0,0,new york,white plains,new york,new york,08:00:00,16:00:00,0.0,0.0
1,1,35,71,37,1,peakload,35.0,14.11,0.0,none,0.0,36.0,0,los angeles,park city,california,utah,08:00:00,23:00:00,21.17,21.17
1,1,37,72,6,1,peakload,35.0,14.73,0.0,none,0.0,3.0,0,frisco,breckenridge,texas,colorado,08:30:00,17:00:00,22.1,22.1
1,1,37,72,10,1,seasonal,40.0,11.09,0.0,none,0.0,0.0,0,miami,savery,florida,wyoming,07:00:00,16:00:00,16.64,16.64
1,1,37,72,11,1,seasonal,40.0,14.75,0.0,none,0.0,0.0,0,miami,savery,florida,wyoming,07:00:00,16:00:00,22.13,22.13
1,1,39,11,4,1,peakload,40.0,10.93,0.0,none,0.0,3.0,0,bellingham,allison park,washington,pennsylvania,07:00:00,16:00:00,16.4,16.4
1,0,37,56,35,1,seasonal,35.0,11.51,0.0,none,0.0,1.0,0,no attorney representation,sarasota,no attorney representation,florida,08:00:00,15:00:00,17.27,17.27
1,1,25,71,30,1,seasonal,35.0,26.25,0.0,none,0.0,0.0,0,los angeles,park city,california,utah,09:00:00,16:00:00,39.38,56.25
1,0,37,56,45,1,seasonal,35.0,10.47,0.0,none,0.0,1.0,0,no attorney representation,panama city beach,no attorney representation,florida,08:00:00,15:00:00,15.71,15.71
0,1,11,33,3,1,peakload,40.0,45.29,10.0,none,0.0,24.0,0,el paso,midland,texas,texas,07:00:00,19:00:00,60.6,60.6
1,1,35,71,6,1,seasonal,35.0,10.92,0.0,none,0.0,3.0,0,framingham,killington,massachusetts,vermont,09:00:00,16:00:00,16.38,17.37
1,0,39,81,2,1,one-time occurrence,40.0,10.74,0.0,high school/ged ,0.0,12.0,0,no attorney representation,dallas,no attorney representation,texas,09:00:00,17:00:00,16.11,16.11
1,0,45,11,45,1,seasonal,40.0,14.27,0.0,none,0.0,3.0,0,no attorney representation,hermitage,no attorney representation,arkansas,07:00:00,15:00:00,0.0,0.0
1,1,37,72,25,1,peakload,35.0,12.85,0.0,none,0.0,3.0,0,framingham,teton village,massachusetts,wyoming,09:00:00,16:00:00,19.28,19.28
1,1,37,56,8,1,seasonal,35.0,13.7,0.0,none,0.0,0.0,0,mentor,medina,ohio,ohio,00:00:00,08:00:00,20.55,20.55
1,1,49,71,20,1,seasonal,35.0,15.97,0.0,none,0.0,0.0,0,annapolis,citra,maryland,florida,08:00:00,17:00:00,23.96,23.96
1,1,47,23,16,1,seasonal,40.0,18.52,0.0,none,0.0,0.0,0,lovingston,hoback,virginia,wyoming,08:00:00,16:30:00,27.78,27.78
1,1,43,72,3,1,peakload,35.0,12.31,0.0,none,0.0,6.0,0,framingham,west dover,massachusetts,vermont,07:00:00,14:00:00,18.47,18.47
1,1,53,48,45,1,peakload,40.0,11.23,0.0,none,0.0,0.0,0,chattanooga,dayton,tennessee,tennessee,06:00:00,16:30:00,16.85,16.85
1,1,37,72,35,1,peakload,35.0,14.73,0.0,none,0.0,1.0,0,north bay village,breckenridge,florida,colorado,08:30:00,15:30:00,22.1,22.1
0,1,37,72,6,1,peakload,36.0,10.87,0.0,none,0.0,3.0,0,billings,spearfish,montana,south dakota,08:00:00,15:30:00,16.31,16.31
1,1,37,72,8,1,peakload,35.0,12.54,0.0,none,0.0,0.0,0,minneapolis,lutsen,minnesota,minnesota,08:00:00,17:00:00,0.0,0.0
1,1,45,11,55,1,seasonal,40.0,12.84,0.0,none,0.0,0.0,0,coeur d'alene,antlers,idaho,oklahoma,08:00:00,16:00:00,19.26,27.14
1,1,45,11,15,1,peakload,40.0,15.06,0.0,none,0.0,3.0,0,coeur d' alene,waldron,idaho,arkansas,07:00:00,15:00:00,22.59,22.59
1,0,45,11,30,1,seasonal,35.0,14.25,0.0,none,0.0,3.0,0,no attorney representation,dallas,no attorney representation,oregon,07:00:00,15:30:00,21.38,30.6
1,1,37,48,13,1,seasonal,40.0,15.73,0.0,none,0.0,0.0,0,austin,wellington,texas,colorado,07:30:00,16:30:00,23.6,33.0
1,1,37,56,36,1,seasonal,40.0,14.07,0.0,none,0.0,0.0,0,austin,midvale,texas,utah,08:00:00,16:00:00,21.11,21.11
1,1,35,72,4,1,peakload,35.0,14.9,0.0,none,0.0,1.0,0,north bay village,key west,florida,florida,07:00:00,15:00:00,22.35,22.35
1,1,35,72,5,1,peakload,35.0,12.45,0.0,none,0.0,1.0,0,north bay village,key west,florida,florida,10:00:00,17:00:00,18.68,18.68
1,1,37,72,12,1,peakload,35.0,11.39,0.0,none,0.0,1.0,0,north bay village,key west,florida,florida,08:00:00,16:00:00,17.09,17.09
0,1,37,56,12,1,peakload,40.0,23.92,0.0,none,0.0,0.0,0,cherry hill,lothian,new jersey,maryland,06:00:00,14:00:00,35.88,35.88
1,1,37,72,10,1,peakload,40.0,10.77,0.0,none,0.0,3.0,0,framingham,paradise valley,massachusetts,arizona,08:00:00,16:00:00,16.15,17.25
1,0,39,62,1,1,one-time occurrence,40.0,14.34,0.0,high school/ged ,0.0,12.0,0,no attorney representation,los altos,no attorney representation,california,08:00:00,16:00:00,21.51,21.51
1,1,35,53,3,1,peakload,35.0,13.77,0.0,none,0.0,0.0,0,vail,vail,colorado,colorado,07:00:00,15:00:00,20.66,20.66
1,1,37,53,34,1,peakload,35.0,14.13,0.0,none,0.0,0.0,0,vail,vail,colorado,colorado,09:00:00,17:00:00,21.2,21.2
1,1,35,53,7,1,peakload,35.0,10.86,0.0,none,0.0,0.0,0,vail,vail,colorado,colorado,07:00:00,15:00:00,16.29,16.29
1,1,39,71,16,1,seasonal,35.0,11.39,0.0,high school/ged ,0.0,0.0,0,framingham,killington,massachusetts,vermont,09:00:00,16:00:00,17.09,18.6
0,1,47,23,12,1,peakload,35.0,14.56,0.0,none,0.0,0.0,0,lexington,balch springs,kentucky,texas,08:00:00,16:00:00,21.84,21.84
0,0,39,81,1,1,one-time occurrence,40.0,15.0,0.0,high school/ged ,0.0,0.0,0,no attorney representation,brooklyn,no attorney representation,new york,08:00:00,16:00:00,22.5,30.0
1,0,47,23,12,1,seasonal,40.0,14.38,0.0,none,0.0,0.0,1,no attorney representation,labelle,no attorney representation,florida,07:00:00,16:00:00,0.0,0.0
1,1,45,11,23,1,seasonal,40.0,10.25,0.0,none,0.0,0.0,0,coeur d' alene,white plains,idaho,georgia,08:00:00,17:00:00,15.38,22.5
1,1,45,11,130,1,peakload,40.0,12.0,0.0,none,0.0,3.0,0,coeur d' alene,central point,idaho,oregon,06:00:00,15:30:00,18.0,32.15
1,1,45,11,35,1,seasonal,40.0,9.83,0.0,none,0.0,0.0,0,coeur d' alene,longview,idaho,texas,08:00:00,17:00:00,14.75,26.34
1,1,45,42,65,1,peakload,35.0,9.43,0.0,none,0.0,3.0,0,san diego,pompano beach,california,florida,08:00:00,14:00:00,14.15,0.0
1,1,45,11,110,1,seasonal,40.0,10.46,0.0,none,0.0,0.0,0,lake park,south boston,georgia,virginia,08:00:00,17:00:00,15.69,53.49
1,1,39,71,50,1,seasonal,40.0,12.63,0.0,none,0.0,1.0,0,norman,hallandale,oklahoma,florida,05:00:00,17:00:00,18.95,18.95
1,1,49,56,6,1,seasonal,40.0,13.52,0.0,none,0.0,0.0,0,dallas,elkton,texas,maryland,07:00:00,15:00:00,20.28,20.28
1,1,45,11,40,1,seasonal,35.0,16.42,0.0,none,0.0,0.0,0,lake park,silsbee,georgia,texas,08:00:00,16:00:00,24.63,25.76
1,1,45,11,15,1,seasonal,40.0,17.0,0.0,none,0.0,0.0,0,lake park,robeline,georgia,louisiana,06:00:00,16:00:00,25.5,25.5
0,0,37,11,25,1,one-time occurrence,40.0,10.81,0.0,none,0.0,3.0,0,no attorney representation,branford,no attorney representation,florida,08:00:00,16:00:00,0.0,0.0
0,1,37,56,5,1,seasonal,40.0,12.81,0.0,none,0.0,3.0,0,mcminnville,ooltewah,tennessee,tennessee,07:00:00,16:00:00,19.22,19.22
0,0,47,23,65,1,peakload,40.0,14.32,0.0,none,0.0,0.0,0,no attorney representation,ingleside,no attorney representation,texas,07:00:00,17:00:00,21.48,21.48
0,0,27,71,3,1,seasonal,35.0,18.04,0.0,none,0.0,12.0,0,no attorney representation,mammoth lakes,no attorney representation,california,08:00:00,16:30:00,27.06,27.06
1,0,37,56,35,1,seasonal,35.0,10.77,0.0,none,0.0,1.0,0,no attorney representation,miami beach,no attorney representation,florida,08:00:00,15:00:00,16.16,16.16
1,1,45,11,35,1,seasonal,40.0,9.83,0.0,none,0.0,0.0,0,coeur d'alene,rome,idaho,georgia,08:00:00,17:00:00,14.75,32.25
0,1,15,56,1,1,seasonal,40.0,30.01,0.0,high school/ged ,0.0,5.0,0,albany ny,new york,new york,new york,07:00:00,15:30:00,30.01,30.01
1,1,39,71,5,1,seasonal,40.0,13.68,0.0,none,0.0,1.0,1,norman,laurel,oklahoma,maryland,05:00:00,17:00:00,20.52,20.52
0,0,37,56,8,1,seasonal,40.0,15.72,0.0,none,0.0,3.0,0,no attorney representation,mascotte,no attorney representation,florida,07:00:00,16:00:00,0.0,0.0
0,1,47,56,1,1,one-time occurrence,40.0,19.0,0.0,none,0.0,0.0,0,austin,kyle,texas,texas,08:00:00,17:00:00,0.0,0.0
0,1,51,44,10,1,peakload,40.0,10.85,0.0,none,0.0,3.0,0,norcross,gainesville,georgia,georgia,08:00:00,19:00:00,0.0,0.0
1,1,35,72,8,1,peakload,35.0,15.2,0.0,none,0.0,0.0,0,centerville,woodstock,massachusetts,vermont,06:00:00,14:00:00,0.0,0.0
1,1,35,72,6,1,peakload,35.0,12.82,0.0,none,0.0,0.0,0,centerville,woodstock,massachusetts,vermont,06:00:00,14:00:00,19.23,21.0
1,1,35,72,2,1,peakload,35.0,20.52,0.0,none,0.0,3.0,0,centerville,woodstock,massachusetts,vermont,08:00:00,23:00:00,30.78,30.78
0,1,37,56,100,1,seasonal,40.0,13.68,0.0,none,0.0,0.0,0,austin,salt lake city,texas,utah,08:00:00,17:00:00,0.0,0.0
0,0,47,21,115,1,peakload,40.0,22.21,0.0,high school/ged ,0.0,12.0,1,no attorney representation,golden meadow,no attorney representation,louisiana,07:00:00,16:00:00,0.0,0.0
0,0,47,21,85,1,peakload,40.0,18.13,0.0,high school/ged ,0.0,12.0,1,no attorney representation,ingleside,no attorney representation,texas,07:00:00,16:00:00,0.0,0.0
1,1,35,53,5,1,peakload,35.0,13.77,0.0,none,0.0,0.0,0,vail,vail,colorado,colorado,07:00:00,15:00:00,20.66,20.66
0,1,35,72,10,1,peakload,40.0,12.48,0.0,none,0.0,12.0,0,ft. lauderdale,roseville,florida,california,08:00:00,10:30:00,18.72,18.72
0,1,47,56,10,1,peakload,35.0,14.56,0.0,none,0.0,0.0,0,lexington,austin,kentucky,texas,08:00:00,16:00:00,21.84,21.84
0,1,47,56,10,1,peakload,35.0,18.18,0.0,none,0.0,0.0,0,lexington,rancho cordova,kentucky,california,08:00:00,16:00:00,27.27,27.27
0,0,37,56,30,1,peakload,40.0,13.17,0.0,none,0.0,2.0,0,no attorney representation,franklin,no attorney representation,louisiana,06:00:00,15:00:00,0.0,0.0
0,1,47,23,10,1,peakload,40.0,14.85,0.0,none,0.0,0.0,0,durham,wake forest,north carolina,north carolina,08:00:00,16:00:00,22.28,22.28
0,1,47,23,20,1,one-time occurrence,40.0,20.22,0.0,none,0.0,0.0,0,salt lake city,layton,utah,utah,07:00:00,16:00:00,0.0,0.0
1,1,39,71,2,1,seasonal,40.0,12.9,0.0,none,0.0,1.0,0,carlsbad,wellington,california,florida,07:00:00,16:00:00,19.35,19.35
1,1,37,56,8,1,seasonal,40.0,13.94,0.0,none,0.0,0.0,0,wylie,plano,texas,texas,06:30:00,17:30:00,20.91,20.91
