CASE_STATUS,AGENT_POC_EMP_REP_BY_AGENT,SOC_CODE,NAICS_CODE,NBR_WORKERS_REQUESTED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,NUM_OF_MONTHS_TRAINING,EMP_EXP_NUM_MONTHS,WORKSITE_STATE,SWA_NAME,AGENT_ATTORNEY_CITY,WORKSITE_CITY,AGENT_ATTORNEY_STATE,CITY_MATCH,STATE_MATCH,WORK_DAY_LENGTH,DAYTIME_WORK,HAS_OVERTIME
1,1,37,56,5,1,peakload,40.0,13.68,0.0,none,0.0,0.0,utah,0,brooklyn,sandy,new york,different,different,9.0,1.0,1
1,1,45,11,49,1,seasonal,36.0,14.27,0.0,none,0.0,0.0,arkansas,0,lake park,hermitage,georgia,different,different,7.0,1.0,1
1,1,35,71,3,1,peakload,40.0,15.12,0.0,none,0.0,12.0,florida,0,framingham,naples,massachusetts,different,different,8.0,1.0,1
1,1,37,56,10,1,seasonal,35.0,16.36,0.0,none,0.0,0.0,wyoming,0,charlottesville,teton village,virginia,different,different,8.0,1.0,1
1,1,37,72,12,1,peakload,35.0,12.66,0.0,none,0.0,6.0,vermont,0,framingham,west dover,massachusetts,different,different,7.0,1.0,1
1,1,45,11,35,1,seasonal,40.0,10.25,0.0,none,0.0,3.0,south carolina,0,coeur d' alene,saluda,idaho,different,different,9.0,1.0,1
1,1,45,11,16,1,seasonal,40.0,14.97,0.0,none,0.0,0.0,georgia,0,coeur d' alene,buena vista,idaho,different,different,10.0,1.0,1
1,1,37,56,20,1,seasonal,40.0,14.24,0.0,none,0.0,0.0,georgia,0,coeur d' alene,atlanta,idaho,different,different,9.0,1.0,1
1,1,45,11,60,1,seasonal,40.0,9.79,0.0,none,0.0,0.0,georgia,0,coeur d' alene,lagrange,idaho,different,different,8.0,1.0,1
1,0,37,56,20,1,seasonal,35.0,10.91,0.0,none,0.0,1.0,florida,0,no attorney representation,clearwater beach,no attorney representation,no_rep,no_rep,7.0,1.0,1
1,1,45,11,42,1,seasonal,40.0,10.25,0.0,none,0.0,3.0,georgia,0,coeur d' alene,calhoun,idaho,different,different,9.0,1.0,1
1,1,35,72,22,1,peakload,35.0,14.4,0.0,none,0.0,2.0,florida,0,frisco,naples,texas,different,different,8.0,1.0,1
1,1,53,42,4,1,peakload,40.0,15.45,0.0,none,0.0,0.0,pennsylvania,0,bay city,pottstown,texas,different,different,8.5,1.0,1
1,1,45,11,45,1,seasonal,40.0,13.41,0.0,none,0.0,0.0,arkansas,0,lake park,warren,georgia,different,different,9.0,1.0,1
1,1,37,72,15,1,peakload,40.0,14.73,0.0,high school/ged ,0.0,12.0,colorado,0,aurora,tabernash,colorado,different,same,9.0,1.0,1
1,1,37,56,9,1,seasonal,35.0,16.81,0.0,none,0.0,0.0,new york,0,new york,white plains,new york,different,same,8.0,1.0,0
1,1,35,71,37,1,peakload,35.0,14.11,0.0,none,0.0,36.0,utah,0,los angeles,park city,california,different,different,15.0,0.0,1
1,1,37,72,6,1,peakload,35.0,14.73,0.0,none,0.0,3.0,colorado,0,frisco,breckenridge,texas,different,different,8.5,1.0,1
1,1,37,72,10,1,seasonal,40.0,11.09,0.0,none,0.0,0.0,wyoming,0,miami,savery,florida,different,different,9.0,1.0,1
1,1,37,72,11,1,seasonal,40.0,14.75,0.0,none,0.0,0.0,wyoming,0,miami,savery,florida,different,different,9.0,1.0,1
1,1,39,11,4,1,peakload,40.0,10.93,0.0,none,0.0,3.0,pennsylvania,0,bellingham,allison park,washington,different,different,9.0,1.0,1
1,0,37,56,35,1,seasonal,35.0,11.51,0.0,none,0.0,1.0,florida,0,no attorney representation,sarasota,no attorney representation,no_rep,no_rep,7.0,1.0,1
1,1,25,71,30,1,seasonal,35.0,26.25,0.0,none,0.0,0.0,utah,0,los angeles,park city,california,different,different,7.0,1.0,1
1,0,37,56,45,1,seasonal,35.0,10.47,0.0,none,0.0,1.0,florida,0,no attorney representation,panama city beach,no attorney representation,no_rep,no_rep,7.0,1.0,1
0,1,11,33,3,1,peakload,40.0,45.29,10.0,none,0.0,24.0,texas,0,el paso,midland,texas,different,same,12.0,1.0,1
1,1,35,71,6,1,seasonal,35.0,10.92,0.0,none,0.0,3.0,vermont,0,framingham,killington,massachusetts,different,different,7.0,1.0,1
1,0,39,81,2,1,one-time occurrence,40.0,10.74,0.0,high school/ged ,0.0,12.0,texas,0,no attorney representation,dallas,no attorney representation,no_rep,no_rep,8.0,1.0,1
1,0,45,11,45,1,seasonal,40.0,14.27,0.0,none,0.0,3.0,arkansas,0,no attorney representation,hermitage,no attorney representation,no_rep,no_rep,8.0,1.0,0
1,1,37,72,25,1,peakload,35.0,12.85,0.0,none,0.0,3.0,wyoming,0,framingham,teton village,massachusetts,different,different,7.0,1.0,1
1,1,37,56,8,1,seasonal,35.0,13.7,0.0,none,0.0,0.0,ohio,0,mentor,medina,ohio,different,same,8.0,0.0,1
1,1,49,71,20,1,seasonal,35.0,15.97,0.0,none,0.0,0.0,florida,0,annapolis,citra,maryland,different,different,9.0,1.0,1
1,1,47,23,16,1,seasonal,40.0,18.52,0.0,none,0.0,0.0,wyoming,0,lovingston,hoback,virginia,different,different,8.5,1.0,1
1,1,43,72,3,1,peakload,35.0,12.31,0.0,none,0.0,6.0,vermont,0,framingham,west dover,massachusetts,different,different,7.0,1.0,1
1,1,53,48,45,1,peakload,40.0,11.23,0.0,none,0.0,0.0,tennessee,0,chattanooga,dayton,tennessee,different,same,10.5,1.0,1
1,1,37,72,35,1,peakload,35.0,14.73,0.0,none,0.0,1.0,colorado,0,north bay village,breckenridge,florida,different,different,7.0,1.0,1
0,1,37,72,6,1,peakload,36.0,10.87,0.0,none,0.0,3.0,south dakota,0,billings,spearfish,montana,different,different,7.5,1.0,1
1,1,37,72,8,1,peakload,35.0,12.54,0.0,none,0.0,0.0,minnesota,0,minneapolis,lutsen,minnesota,different,same,9.0,1.0,0
1,1,45,11,55,1,seasonal,40.0,12.84,0.0,none,0.0,0.0,oklahoma,0,coeur d'alene,antlers,idaho,different,different,8.0,1.0,1
1,1,45,11,15,1,peakload,40.0,15.06,0.0,none,0.0,3.0,arkansas,0,coeur d' alene,waldron,idaho,different,different,8.0,1.0,1
1,0,45,11,30,1,seasonal,35.0,14.25,0.0,none,0.0,3.0,oregon,0,no attorney representation,dallas,no attorney representation,no_rep,no_rep,8.5,1.0,1
1,1,37,48,13,1,seasonal,40.0,15.73,0.0,none,0.0,0.0,colorado,0,austin,wellington,texas,different,different,9.0,1.0,1
1,1,37,56,36,1,seasonal,40.0,14.07,0.0,none,0.0,0.0,utah,0,austin,midvale,texas,different,different,8.0,1.0,1
1,1,35,72,4,1,peakload,35.0,14.9,0.0,none,0.0,1.0,florida,0,north bay village,key west,florida,different,same,8.0,1.0,1
1,1,35,72,5,1,peakload,35.0,12.45,0.0,none,0.0,1.0,florida,0,north bay village,key west,florida,different,same,7.0,1.0,1
