AGENT_POC_EMP_REP_BY_AGENT,SOC_CODE,NAICS_CODE,NBR_WORKERS_REQUESTED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,NUM_OF_MONTHS_TRAINING,EMP_EXP_NUM_MONTHS,SWA_NAME,CITY_MATCH,STATE_MATCH,WORK_DAY_LENGTH,DAYTIME_WORK,HAS_OVERTIME,CASE_STATUS
1,37,56,5.0,1,peakload,40.0,13.68,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1,1
1,45,11,49.0,1,seasonal,36.0,14.27,0.0,none,0.0,0.0,0,different,different,7.0,1.0,1,1
1,35,71,3.0,1,peakload,40.0,15.12,0.0,none,0.0,12.0,0,different,different,8.0,1.0,1,1
1,37,56,10.0,1,seasonal,35.0,16.36,0.0,none,0.0,0.0,0,different,different,8.0,1.0,1,1
1,37,72,12.0,1,peakload,35.0,12.66,0.0,none,0.0,6.0,0,different,different,7.0,1.0,1,1
1,45,11,35.0,1,seasonal,40.0,10.25,0.0,none,0.0,3.0,0,different,different,9.0,1.0,1,1
1,45,11,16.0,1,seasonal,40.0,14.97,0.0,none,0.0,0.0,0,different,different,10.0,1.0,1,1
1,37,56,20.0,1,seasonal,40.0,14.24,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1,1
1,45,11,60.0,1,seasonal,40.0,9.79,0.0,none,0.0,0.0,0,different,different,8.0,1.0,1,1
0,37,56,20.0,1,seasonal,35.0,10.91,0.0,none,0.0,1.0,0,no_rep,no_rep,7.0,1.0,1,1
1,45,11,42.0,1,seasonal,40.0,10.25,0.0,none,0.0,3.0,0,different,different,9.0,1.0,1,1
1,35,72,22.0,1,peakload,35.0,14.4,0.0,none,0.0,2.0,0,different,different,8.0,1.0,1,1
1,53,42,4.0,1,peakload,40.0,15.45,0.0,none,0.0,0.0,0,different,different,8.5,1.0,1,1
1,45,11,45.0,1,seasonal,40.0,13.41,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1,1
1,37,72,15.0,1,peakload,40.0,14.73,0.0,high school/ged ,0.0,12.0,0,different,same,9.0,1.0,1,1
1,37,56,9.0,1,seasonal,35.0,16.81,0.0,none,0.0,0.0,0,different,same,8.0,1.0,0,1
1,35,71,37.0,1,peakload,35.0,14.11,0.0,none,0.0,36.0,0,different,different,15.0,0.0,1,1
1,37,72,6.0,1,peakload,35.0,14.73,0.0,none,0.0,3.0,0,different,different,8.5,1.0,1,1
1,37,72,10.0,1,seasonal,40.0,11.09,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1,1
1,37,72,11.0,1,seasonal,40.0,14.75,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1,1
1,39,11,4.0,1,peakload,40.0,10.93,0.0,none,0.0,3.0,0,different,different,9.0,1.0,1,1
0,37,56,35.0,1,seasonal,35.0,11.51,0.0,none,0.0,1.0,0,no_rep,no_rep,7.0,1.0,1,1
1,25,71,30.0,1,seasonal,35.0,26.25,0.0,none,0.0,0.0,0,different,different,7.0,1.0,1,1
0,37,56,45.0,1,seasonal,35.0,10.47,0.0,none,0.0,1.0,0,no_rep,no_rep,7.0,1.0,1,1
1,11,33,3.0,1,peakload,40.0,45.29,10.0,none,0.0,24.0,0,different,same,12.0,1.0,1,0
1,35,71,6.0,1,seasonal,35.0,10.92,0.0,none,0.0,3.0,0,different,different,7.0,1.0,1,1
0,39,81,2.0,1,one-time occurrence,40.0,10.74,0.0,high school/ged ,0.0,12.0,0,no_rep,no_rep,8.0,1.0,1,1
