CASE_STATUS,AGENT_POC_EMP_REP_BY_AGENT,SOC_CODE,NAICS_CODE,NBR_WORKERS_REQUESTED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,NUM_OF_MONTHS_TRAINING,EMP_EXP_NUM_MONTHS,SWA_NAME,CITY_MATCH,STATE_MATCH,WORK_DAY_LENGTH,DAYTIME_WORK,HAS_OVERTIME
1,1,37,56,24,1,seasonal,35.0,12.27,0.0,none,0.0,0.0,0,different,same,8.0,1.0,1
1,1,37,56,28,1,peakload,35.0,11.92,0.0,none,0.0,0.0,0,different,different,8.0,1.0,1
1,1,37,56,20,1,seasonal,40.0,14.49,0.0,none,0.0,0.0,0,different,different,12.0,1.0,1
1,1,37,56,4,1,peakload,40.0,13.35,0.0,none,0.0,0.0,0,different,same,9.0,1.0,1
1,1,43,72,5,1,seasonal,35.0,11.99,0.0,none,0.0,6.0,0,different,different,7.0,1.0,1
1,1,37,54,15,1,peakload,35.0,17.5,0.0,none,0.0,0.0,0,different,same,8.0,1.0,1
1,1,47,23,6,1,peakload,35.0,13.16,0.0,none,0.0,1.0,0,different,different,9.5,1.0,1
1,1,37,72,8,1,peakload,35.0,11.39,0.0,none,0.0,0.0,0,different,different,7.5,1.0,1
1,1,37,92,6,1,peakload,40.0,14.8,0.0,high school/ged ,0.0,0.0,0,different,different,9.0,1.0,0
1,1,53,33,2,1,peakload,40.0,12.44,0.0,none,0.0,0.0,0,different,different,8.0,1.0,1
1,1,51,31,2,1,seasonal,40.0,26.61,40.0,none,0.0,12.0,0,different,different,12.0,1.0,1
1,1,45,44,12,1,seasonal,40.0,12.74,0.0,none,0.0,3.0,0,different,different,8.5,1.0,1
1,1,37,11,30,1,seasonal,40.0,11.3,0.0,none,0.0,0.0,0,different,different,8.5,1.0,0
1,1,37,56,23,1,peakload,40.0,15.1,0.0,none,0.0,0.0,0,different,different,10.0,1.0,1
1,1,37,56,4,1,seasonal,40.0,15.73,0.0,none,0.0,0.0,0,different,different,8.5,1.0,1
1,1,37,56,30,1,peakload,40.0,13.31,0.0,none,0.0,0.0,0,different,different,10.0,1.0,1
1,1,37,56,2,1,seasonal,40.0,13.72,0.0,none,0.0,3.0,0,different,different,10.0,1.0,1
1,1,37,56,5,1,seasonal,40.0,14.41,0.0,none,0.0,3.0,0,different,different,8.0,1.0,1
1,1,37,72,11,1,seasonal,40.0,11.56,0.0,none,0.0,3.0,0,different,different,8.0,1.0,1
1,1,51,32,25,1,peakload,40.0,14.65,0.0,none,0.0,1.0,0,different,different,8.0,1.0,1
1,1,37,56,6,1,seasonal,40.0,13.53,0.0,none,0.0,3.0,0,different,different,8.5,1.0,1
1,1,37,56,36,1,seasonal,40.0,14.07,0.0,none,0.0,0.0,0,different,different,8.0,1.0,1
1,1,37,56,20,1,seasonal,40.0,14.49,0.0,none,0.0,0.0,0,different,different,12.0,1.0,1
1,1,51,32,12,1,peakload,40.0,15.82,0.0,none,0.0,0.0,0,different,different,11.5,0.0,1
1,1,37,56,8,1,seasonal,40.0,13.7,0.0,none,0.0,0.0,0,different,different,8.5,1.0,1
1,1,37,56,38,1,seasonal,40.0,13.83,0.0,none,0.0,0.0,0,different,different,8.5,1.0,1
1,1,47,23,8,1,peakload,40.0,21.78,0.0,none,0.0,3.0,0,different,same,9.0,1.0,0
1,1,37,56,4,1,seasonal,40.0,14.41,0.0,none,0.0,0.0,0,different,different,10.0,1.0,1
1,1,35,72,4,1,peakload,35.0,10.26,0.0,none,0.0,3.0,0,different,same,8.0,1.0,1
1,1,37,56,12,1,seasonal,40.0,13.72,0.0,none,0.0,3.0,0,different,different,8.5,1.0,1
1,1,35,71,8,1,seasonal,35.0,12.25,0.0,none,0.0,3.0,0,different,different,9.0,1.0,1
1,1,37,56,25,1,seasonal,40.0,15.08,0.0,none,0.0,0.0,0,different,different,10.0,1.0,1
1,1,37,56,9,1,peakload,40.0,17.05,0.0,high school/ged ,0.0,3.0,0,different,different,9.0,1.0,1
1,1,37,56,18,1,seasonal,35.0,14.73,0.0,none,0.0,3.0,0,different,different,8.5,1.0,1
1,1,35,72,13,1,seasonal,35.0,16.84,0.0,none,0.0,3.0,0,different,different,13.0,0.0,1
1,1,51,31,30,1,seasonal,35.0,8.33,0.0,none,0.0,0.0,0,different,same,10.0,1.0,1
1,1,39,71,20,1,seasonal,40.0,344.0,0.0,none,0.0,0.0,0,different,different,9.0,0.0,0
1,1,35,53,3,1,peakload,40.0,11.26,0.0,none,0.0,0.0,0,different,different,8.5,1.0,1
